GeneratedOn,GeneratedBy,Id,AccountName,Amount,CloseDate,Name,OwnerEmail,StageName,Type
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Kirsch, Crawford & Himmel",67213,2000-05-19,"Kirsch, Crawford & Himmel / CORP OFF $67K",abir@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Northern California Heavy Wreckers,13536,2000-05-26,"Northern California Heavy Wreckers, Small Mfg 7",faiz@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Innovative Touch Materials,1741,2000-05-26,"Innovative Touch Materials - Small Office Property Coverage, $1741",kristen@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Merrywest Associates,29807,2000-06-02,"Merrywest Associates, SM HC PROP 15",hammet@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Mass Information Microtechnologies,1828,2000-06-02,Mass Information Microtechnologies / Small Office Property Coverage $$1828,joy@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Grand Concrete Rentals,27233,2000-06-02,"Grand Concrete Rentals - SM MFG PROP, $27233",harper@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Juuboopo,3866,2000-06-09,Juuboopo / SM OFF $4K,tomas@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Intercontinental Electrical,17022,2000-06-16,Intercontinental Electrical / SM GAR $17K,winthrop@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Innovative Storage Interactive,1808,2000-06-23,Innovative Storage Interactive / SM OFF $$1808,xiaodan@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Coit Tower Glen Supplies,28501,2000-06-30,"Coit Tower Glen Supplies - Small Mfg Prop, $28501",rod@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Storrow Hospital,37112,2000-07-07,"Storrow Hospital, SM HC 19",faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Prosperity Limited,98810,2000-07-07,"Prosperity Limited, Corp Office 20",elisha@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Beacon Hill Apps Worldwide,4661,2000-07-07,"Beacon Hill Apps Worldwide, SM OFC PROP 19",devindar@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Seaport Apps Worldwide,30776,2000-07-14,"Seaport Apps Worldwide, LG OFC PROP 20",faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Brookline Lending,100738,2000-07-21,"Brookline Lending, CORP OFF 20",joy@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,St Media Machines,1702,2000-07-21,St Media Machines / SM OFF $$1702,stuart@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,GuuDo Inc.,126902,2000-07-21,"GuuDo Inc., CORP OFF 26",giridhar@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Salem Bank,5918,2000-07-21,Salem Bank / Small Office Prop $6K,hammet@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,FiDo,20450,2000-08-04,FiDo / LG OFC PROP $20K,giridhar@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,America Institute,29227,2000-08-11,America Institute / SM HC PROP $29K,devindar@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Seaport Resources,1683,2000-08-11,"Seaport Resources, SM OFF 7",hammet@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Electronic Media Tech,4339,2000-08-25,"Electronic Media Tech - Small Office, $4339",kristen@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,American Podiatry,32051,2000-08-25,"American Podiatry, SM HC 16",sherill@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Pacific Bank LLC,5701,2000-09-02,"Pacific Bank LLC, SM OFC PROP 23",giridhar@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Neyasa,4808,2000-09-02,"Neyasa - Small Office Prop, $4808",kristen@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Harvard And Associates,34413,2000-09-02,Harvard And Associates / LG OFF $34K,adrian@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Puupo Inc.,3804,2000-09-09,"Puupo Inc., Small Office Property Coverage 15",winthrop@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Inter Touch Semiconductors,73158,2000-09-09,"Inter Touch Semiconductors - Corp Office, $73158",airianna@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,New App Networks,2051,2000-10-06,"New App Networks, Small Office 8",kristen@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bayview Aero Associates Partners,14363,2000-10-13,Bayview Aero Associates Partners / Small Mfg $14K,faiz@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Seaverns Storage Computers,1822,2000-10-13,"Seaverns Storage Computers, Small Office Prop 7",rod@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,P&P Dell Distribution,14003,2000-10-20,"P&P Dell Distribution - Small Mfg Prop, $14003",airianna@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Cyber Information Research LLC,29787,2000-10-20,"Cyber Information Research LLC, Large Office Prop 19",harper@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Kent & Ostermann LLP Inc,1684,2000-10-27,"Kent & Ostermann LLP Inc - SM OFC PROP, $1684",joy@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bayview Wood Parts,14183,2000-11-03,"Bayview Wood Parts - Small Mfg Prop, $14183",xiaodan@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Dijihoo,71618,2000-11-10,"Dijihoo - CORP OFF, $71618",sherill@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Data Design,3509,2000-11-10,"Adaptive Data Design, Small Office 14",adrian@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Fenway One,29749,2000-11-10,"Fenway One, Small Healthcare 15",giridhar@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Hoogaagu,3466,2000-11-17,"Hoogaagu, Small Office 14",stuart@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Hocuu Brothers,3620,2000-11-17,"Hocuu Brothers - SM OFC PROP, $3620",winthrop@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Clementina Systems,34372,2000-11-24,"Clementina Systems, Small Garage 14",yarin@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Information Research,85525,2000-11-24,"Adaptive Information Research, CORP OFC PROP 18",abir@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Holding Iron Incorporated Inc,27802,2000-11-24,Holding Iron Incorporated Inc / Small Mfg Property Coverage $28K,harper@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Electronics Info Computers,29009,2000-11-24,"Electronics Info Computers, Large Office Property Coverage 19",airianna@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Paabuu Inc,134945,2000-12-01,Paabuu Inc / Corp Office Prop $135K,xiaodan@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Biermann, Rowe & Abend And Associates",4156,2000-12-01,"Biermann, Rowe & Abend And Associates, Small Office 17",kristen@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Rockview Info Optical Inc,1820,2000-12-01,Rockview Info Optical Inc / Small Office Prop $$1820,devindar@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Rankin Manufacturing Parts,32983,2000-12-01,"Rankin Manufacturing Parts, SM MFG PROP 17",elisha@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Data Design,3404,2000-12-08,"Adaptive Data Design - Small Office, $3404",hammet@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Nefoobaa,1694,2000-12-22,"Nefoobaa - Small Office Prop, $1694",faiz@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Financial District Markets,27269,2001-01-05,Financial District Markets / Large Office Property Coverage $27K,hammet@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Tigoova,89069,2001-01-05,"Tigoova, Corp Office Prop 17",tomas@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Accent Bankers,28066,2001-01-12,"Accent Bankers - Large Office Property Coverage, $28066",rod@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Whitford, Kaufmann & Gibson",21624,2001-01-19,"Whitford, Kaufmann & Gibson - Large Office, $21624",hammet@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,American Trust,1736,2001-02-03,American Trust / SM OFF $$1736,duston@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Online Net Interactive,20026,2001-02-17,"Online Net Interactive, LG OFC PROP 14",elisha@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Logan Labs,30350,2001-02-28,Logan Labs / Small Healthcare Property Coverage $30K,faiz@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Jamaica Plain Display Incorporated,1943,2001-03-07,"Jamaica Plain Display Incorporated, Small Office Prop 8",winthrop@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Sedgwick Net Networks,121071,2001-03-07,"Sedgwick Net Networks, CORP OFF 24",sherill@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,East Group,33429,2001-03-07,"East Group, Small Healthcare Property Coverage 17",duston@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Seaport Services,5964,2001-03-21,"Seaport Services - Small Office, $5964",elisha@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Endicott Trading Inc.,3855,2001-03-28,"Endicott Trading Inc., SM OFC PROP 15",airianna@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Duujeebee Inc,83453,2001-04-04,"Duujeebee Inc - Corp Office Prop, $83453",devindar@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Howard Info Technologies,21861,2001-04-11,"Howard Info Technologies, Large Office 14",tomas@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Surf Lending Inc,73364,2001-04-18,"Surf Lending Inc - CORP OFF, $73364",xiaodan@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bear State LLP,4811,2001-04-18,Bear State LLP / Small Office Prop $5K,adrian@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Omega Forecasting,1765,2001-04-25,"Omega Forecasting, Small Office Prop 7",hammet@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Brentley, Eggers & Lee Attorneys",34835,2001-05-11,"Brentley, Eggers & Lee Attorneys, Large Office Property Coverage 23",stuart@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,MM Mountain Rentals,37874,2001-05-18,MM Mountain Rentals / SM MFG PROP $38K,coraline@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Hull Partners,3922,2001-05-18,"Hull Partners, Small Office Property Coverage 15",giridhar@alta-insurance.com,Prospecting,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,"Whitford, Kaufmann & Gibson",19964,2001-05-18,"Whitford, Kaufmann & Gibson - LG OFF, $19964",yarin@alta-insurance.com,Closed Won,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Westside Lumber Parts,28710,2001-05-25,"Westside Lumber Parts, Small Mfg Property Coverage 15",kristen@alta-insurance.com,Qualification,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,DuuBu & Co.,3781,2001-06-01,DuuBu & Co. / SM OFF $4K,stuart@alta-insurance.com,Needs Analysis,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Bear State Investors,71242,2001-06-01,"Bear State Investors, CORP OFF 14",airianna@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,F&F Motorcars,17216,2001-06-01,F&F Motorcars / SM GAR $17K,faiz@alta-insurance.com,Negotiation/Review,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Oceanside International,1694,2001-06-08,Oceanside International / SM OFF $$1694,abir@alta-insurance.com,Proposal/Price Quote,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,North Electrics Fabrication,28697,2001-06-08,North Electrics Fabrication / Small Mfg Prop $29K,rod@alta-insurance.com,Closed Lost,New Business
2017-04-12T12:54:25-07:00,UXMetricsGenerator/1.0,,Adaptive Network Networks,30747,2001-06-15,Adaptive Network Networks / Large Office Property Coverage $31K,kristen@alta-insurance.com,Proposal/Price Quote,New Business
